config,method,time_bin,distances_mean,distances_std,distances_sem,local_betweenness_mean,local_betweenness_std,local_betweenness_sem,cost_benefit_mean,cost_benefit_std,cost_benefit_sem,isolated_ratio_mean,isolated_ratio_std,isolated_ratio_sem
BA-random,Adaptive TD,0.0,1.0,0.0,0.0,0.008003986629427511,0.003985332193870239,0.00039853321938702386,0.959697265625,0.09454323987350989,0.00945432398735099,0.0,0.0,0.0
BA-random,Adaptive TD,0.010101,1.0,0.0,0.0,0.0051816119806357246,0.0027483955012607662,0.0002748395501260766,1.2269037050189395,0.5690385082890247,0.056903850828902466,0.000392156862745098,0.003901911518065164,0.00039019115180651643
BA-random,Adaptive TD,0.020202,1.0,0.0,0.0,0.004826826506886312,0.0030176830952784776,0.00030176830952784774,1.437194404987374,0.8445129298394933,0.08445129298394934,0.0020043572984749453,0.006880621720418212,0.0006880621720418212
BA-random,Adaptive TD,0.030303,1.0,0.0,0.0,0.0038019250112682336,0.0019931679672446603,0.00019931679672446602,1.3472617779356062,0.7948579259195337,0.07948579259195337,0.003101604278074866,0.008177473969580852,0.0008177473969580853
BA-random,Adaptive TD,0.040404,1.0,0.0,0.0,0.0034255920209935644,0.0018292537667380581,0.00018292537667380582,1.514841678503788,0.9772760315051785,0.09772760315051784,0.004529609823727469,0.010896834245857225,0.0010896834245857224
BA-random,Adaptive TD,0.050505,1.0,0.0,0.0,0.0029772770476427877,0.0015788636374180268,0.00015788636374180267,1.4396898674242429,0.8741435206295711,0.08741435206295711,0.005933848286789464,0.012991552251422595,0.0012991552251422594
BA-random,Adaptive TD,0.060606,1.0,0.0,0.0,0.002877856242807191,0.0016240738779675196,0.00016240738779675195,1.523191879734849,0.8832377068337941,0.0883237706833794,0.008615567439096854,0.01579024850910592,0.001579024850910592
BA-random,Adaptive TD,0.070707,1.0,0.0,0.0,0.0028229005084114914,0.0016237586753779349,0.00016237586753779348,1.6545875749684344,1.0540504257475392,0.10540504257475392,0.010823925529807885,0.018006939266652713,0.0018006939266652713
BA-random,Adaptive TD,0.080808,1.0,0.0,0.0,0.002709596439847867,0.001348303207560346,0.0001348303207560346,1.5047638494318185,0.9776337151239762,0.09776337151239763,0.014087938205585264,0.02294020539142952,0.002294020539142952
BA-random,Adaptive TD,0.090909,1.0,0.0,0.0,0.002621650557811761,0.001451510665550054,0.0001451510665550054,1.6300168678977274,1.084742219784494,0.1084742219784494,0.015365418894830663,0.024445750039297415,0.0024445750039297416
BA-random,Adaptive TD,0.10101,1.0,0.0,0.0,0.0024752554464483557,0.0011999964081999325,0.00011999964081999325,1.615811927872475,1.0509182712164735,0.10509182712164736,0.01889681124975242,0.027896036233280297,0.0027896036233280297
BA-random,Adaptive TD,0.111111,1.0,0.0,0.0,0.0021795461442928434,0.001148711631795851,0.00011487116317958511,1.5498741319444442,1.0134184857148232,0.10134184857148232,0.021307189542483652,0.029366672445720193,0.0029366672445720193
BA-random,Adaptive TD,0.121212,1.0,0.0,0.0,0.0022864586087205127,0.0012304665727973457,0.00012304665727973457,1.529526515151515,0.9283602530867882,0.09283602530867882,0.0219964349376114,0.030322128824808763,0.0030322128824808764
BA-random,Adaptive TD,0.131313,1.0,0.0,0.0,0.002116165379071654,0.0012293313912840576,0.00012293313912840577,1.6853969381313134,1.1251544494737722,0.11251544494737722,0.024232521291344806,0.03170276476541544,0.003170276476541544
BA-random,Adaptive TD,0.141414,1.0,0.0,0.0,0.002266575382360512,0.0011721901059555486,0.00011721901059555486,1.5786679292929298,0.9080967825491756,0.09080967825491756,0.026007130124777175,0.03290753707257565,0.0032907537072575646
BA-random,Adaptive TD,0.151515,1.0,0.0,0.0,0.0021490941647553056,0.0010835932852475824,0.00010835932852475824,1.7259002130681815,1.169863461423443,0.11698634614234431,0.02832442067736184,0.034486546144468964,0.0034486546144468964
BA-random,Adaptive TD,0.161616,1.0,0.0,0.0,0.0021444681720720568,0.000999474604853882,9.994746048538821e-05,1.6985461055871216,1.1020511840250264,0.11020511840250265,0.031158645276292325,0.03603874119790233,0.0036038741197902333
BA-random,Adaptive TD,0.171717,1.0,0.0,0.0,0.0021604527014443017,0.0010341281992232308,0.00010341281992232309,1.7102555831755053,1.1183158128445518,0.11183158128445518,0.03388591800356505,0.038422644620582744,0.003842264462058274
BA-random,Adaptive TD,0.181818,1.0,0.0,0.0,0.0023980099468510424,0.0012827741631299106,0.00012827741631299107,1.8019158380681823,1.0813915313737328,0.10813915313737328,0.036577540106951856,0.04100091442729793,0.004100091442729793
BA-random,Adaptive TD,0.191919,1.0,0.0,0.0,0.0020061555351848486,0.0009494458620621647,9.494458620621648e-05,1.7654436947601002,1.2727675022299452,0.1272767502229945,0.04084769261239847,0.04492190042261295,0.004492190042261295
BA-random,Adaptive TD,0.20202,1.0,0.0,0.0,0.002151801465513239,0.0011514222336543591,0.00011514222336543592,1.959609868213386,1.4699934996579063,0.14699934996579062,0.04548029312735193,0.047663656846689696,0.00476636568466897
BA-random,Adaptive TD,0.212121,1.0,0.0,0.0,0.001839074053016504,0.0007869273864577063,7.869273864577063e-05,1.7486473129734856,1.2090848081042906,0.12090848081042907,0.0491978609625668,0.05043432887059463,0.005043432887059463
BA-random,Adaptive TD,0.222222,1.0,0.0,0.0,0.0018778000230386357,0.0007646485313305187,7.646485313305187e-05,1.7019053819444454,1.102287237414448,0.1102287237414448,0.054509803921568574,0.05427940070006461,0.005427940070006461
BA-random,Adaptive TD,0.232323,1.0,0.0,0.0,0.0018753558749135687,0.0007437724537748132,7.437724537748131e-05,1.9694957386363634,1.2578653485016642,0.12578653485016641,0.05964349376114075,0.05613750206937936,0.005613750206937936
BA-random,Adaptive TD,0.242424,1.0,0.0,0.0,0.0018291505754125079,0.0008544994752771786,8.544994752771786e-05,1.7420247395833326,1.0610152929210603,0.10610152929210603,0.06437314319667255,0.05940922221066431,0.005940922221066431
BA-random,Adaptive TD,0.252525,1.0,0.0,0.0,0.001837551967957554,0.0009131957351782097,9.131957351782096e-05,1.8872414575441916,1.645155983711056,0.1645155983711056,0.07000198059021585,0.06293715093667934,0.006293715093667935
BA-random,Adaptive TD,0.262626,1.0,0.0,0.0,0.001902481346627035,0.0009617544298562134,9.617544298562135e-05,1.9139237097537887,1.5182655596224308,0.1518265559622431,0.07568825510001977,0.06735711791758223,0.0067357117917582225
BA-random,Adaptive TD,0.272727,1.0,0.0,0.0,0.00191133615905601,0.000991152308034202,9.91152308034202e-05,1.9617214133522736,1.2412074261127417,0.12412074261127418,0.08156862745098037,0.07027248923525255,0.007027248923525254
